# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_CeO2.dat
#       2th_deg             I 
  7.057340e+00    1.177594e+01
  7.072625e+00    1.175553e+01
  7.087910e+00    1.172112e+01
  7.103195e+00    1.171945e+01
  7.118480e+00    1.170115e+01
  7.133765e+00    1.169895e+01
  7.149050e+00    1.168506e+01
  7.164335e+00    1.165546e+01
  7.179620e+00    1.168603e+01
  7.194905e+00    1.166624e+01
  7.210190e+00    1.166079e+01
  7.225475e+00    1.166098e+01
  7.240760e+00    1.167004e+01
  7.256045e+00    1.165676e+01
  7.271330e+00    1.164013e+01
  7.286615e+00    1.161751e+01
  7.301900e+00    1.164486e+01
  7.317185e+00    1.163835e+01
  7.332471e+00    1.165812e+01
  7.347756e+00    1.167099e+01
  7.363041e+00    1.164522e+01
  7.378326e+00    1.168116e+01
  7.393611e+00    1.164940e+01
  7.408896e+00    1.165401e+01
  7.424181e+00    1.166631e+01
  7.439466e+00    1.166420e+01
  7.454751e+00    1.170222e+01
  7.470036e+00    1.172311e+01
  7.485321e+00    1.175084e+01
  7.500606e+00    1.177625e+01
  7.515891e+00    1.183087e+01
  7.531176e+00    1.189546e+01
  7.546461e+00    1.194071e+01
  7.561746e+00    1.199398e+01
  7.577031e+00    1.209112e+01
  7.592316e+00    1.222430e+01
  7.607601e+00    1.242662e+01
  7.622887e+00    1.273676e+01
  7.638172e+00    1.333699e+01
  7.653457e+00    1.461386e+01
  7.668742e+00    1.814247e+01
  7.684027e+00    3.010206e+01
  7.699312e+00    5.626126e+01
  7.714597e+00    7.476000e+01
  7.729882e+00    6.168999e+01
  7.745167e+00    3.435896e+01
  7.760452e+00    1.937380e+01
  7.775737e+00    1.487784e+01
  7.791022e+00    1.343745e+01
  7.806307e+00    1.284780e+01
  7.821592e+00    1.251234e+01
  7.836877e+00    1.229815e+01
  7.852162e+00    1.214079e+01
  7.867447e+00    1.206126e+01
  7.882732e+00    1.203132e+01
  7.898017e+00    1.199830e+01
  7.913302e+00    1.195398e+01
  7.928588e+00    1.194487e+01
  7.943873e+00    1.192358e+01
  7.959158e+00    1.190582e+01
  7.974443e+00    1.191204e+01
  7.989728e+00    1.190639e+01
  8.005013e+00    1.189286e+01
  8.020298e+00    1.192893e+01
  8.035583e+00    1.195823e+01
  8.050868e+00    1.196479e+01
  8.066153e+00    1.196121e+01
  8.081438e+00    1.201084e+01
  8.096723e+00    1.204993e+01
  8.112008e+00    1.207943e+01
  8.127293e+00    1.212220e+01
  8.142578e+00    1.216388e+01
  8.157863e+00    1.212286e+01
  8.173148e+00    1.222662e+01
  8.188433e+00    1.227818e+01
  8.203718e+00    1.237106e+01
  8.219003e+00    1.249274e+01
  8.234289e+00    1.264203e+01
  8.249574e+00    1.283507e+01
  8.264859e+00    1.304173e+01
  8.280144e+00    1.334272e+01
  8.295429e+00    1.381773e+01
  8.310714e+00    1.453994e+01
  8.325999e+00    1.575496e+01
  8.341284e+00    1.814422e+01
  8.356569e+00    2.382956e+01
  8.371854e+00    4.092529e+01
  8.387139e+00    8.538815e+01
  8.402424e+00    1.373023e+02
  8.417709e+00    1.366003e+02
  8.432994e+00    8.401797e+01
  8.448279e+00    4.023186e+01
  8.463564e+00    2.368532e+01
  8.478849e+00    1.839220e+01
  8.494134e+00    1.629941e+01
  8.509419e+00    1.541735e+01
  8.524704e+00    1.515769e+01
  8.539990e+00    1.539341e+01
  8.555275e+00    1.625924e+01
  8.570560e+00    1.871515e+01
  8.585845e+00    2.622052e+01
  8.601130e+00    4.880622e+01
  8.616415e+00    8.562442e+01
  8.631700e+00    9.927673e+01
  8.646985e+00    7.147774e+01
  8.662270e+00    3.708264e+01
  8.677555e+00    2.148640e+01
  8.692840e+00    1.653598e+01
  8.708125e+00    1.468153e+01
  8.723410e+00    1.380093e+01
  8.738695e+00    1.328900e+01
  8.753980e+00    1.297798e+01
  8.769265e+00    1.274388e+01
  8.784550e+00    1.256955e+01
  8.799835e+00    1.245025e+01
  8.815120e+00    1.235254e+01
  8.830406e+00    1.228629e+01
  8.845691e+00    1.222512e+01
  8.860976e+00    1.215445e+01
  8.876261e+00    1.211877e+01
  8.891546e+00    1.210033e+01
  8.906831e+00    1.204879e+01
  8.922116e+00    1.201796e+01
  8.937401e+00    1.202059e+01
  8.952686e+00    1.195128e+01
  8.967971e+00    1.193628e+01
  8.983256e+00    1.192963e+01
  8.998541e+00    1.192989e+01
  9.013826e+00    1.193384e+01
  9.029111e+00    1.193207e+01
  9.044396e+00    1.190985e+01
  9.059681e+00    1.191336e+01
  9.074966e+00    1.190409e+01
  9.090251e+00    1.190651e+01
  9.105536e+00    1.191117e+01
  9.120821e+00    1.190565e+01
  9.136107e+00    1.195403e+01
  9.151392e+00    1.197013e+01
  9.166677e+00    1.199579e+01
  9.181962e+00    1.203645e+01
  9.197247e+00    1.208258e+01
  9.212532e+00    1.212256e+01
  9.227817e+00    1.217004e+01
  9.243102e+00    1.223159e+01
  9.258387e+00    1.230423e+01
  9.273672e+00    1.242283e+01
  9.288957e+00    1.255571e+01
  9.304242e+00    1.275216e+01
  9.319527e+00    1.299307e+01
  9.334812e+00    1.337250e+01
  9.350097e+00    1.392621e+01
  9.365382e+00    1.487672e+01
  9.380667e+00    1.665681e+01
  9.395952e+00    2.060022e+01
  9.411237e+00    3.145556e+01
  9.426522e+00    6.219960e+01
  9.441808e+00    1.113309e+02
  9.457093e+00    1.305623e+02
  9.472378e+00    9.382857e+01
  9.487663e+00    4.739517e+01
  9.502948e+00    2.553475e+01
  9.518233e+00    1.836927e+01
  9.533518e+00    1.564656e+01
  9.548803e+00    1.428874e+01
  9.564088e+00    1.350718e+01
  9.579373e+00    1.307193e+01
  9.594658e+00    1.277680e+01
  9.609943e+00    1.258551e+01
  9.625228e+00    1.243119e+01
  9.640513e+00    1.229749e+01
  9.655798e+00    1.221259e+01
  9.671083e+00    1.216978e+01
  9.686368e+00    1.211534e+01
  9.701653e+00    1.208136e+01
  9.716938e+00    1.204277e+01
  9.732224e+00    1.202421e+01
  9.747509e+00    1.204780e+01
  9.762794e+00    1.203830e+01
  9.778079e+00    1.202362e+01
  9.793364e+00    1.204068e+01
  9.808649e+00    1.207405e+01
  9.823934e+00    1.211354e+01
  9.839219e+00    1.215993e+01
  9.854504e+00    1.225362e+01
  9.869789e+00    1.238319e+01
  9.885074e+00    1.254763e+01
  9.900359e+00    1.276147e+01
  9.915644e+00    1.311556e+01
  9.930929e+00    1.368632e+01
  9.946214e+00    1.461644e+01
  9.961499e+00    1.649092e+01
  9.976784e+00    2.109778e+01
  9.992069e+00    3.487942e+01
  1.000735e+01    6.858481e+01
  1.002264e+01    1.063007e+02
  1.003792e+01    1.035730e+02
  1.005321e+01    6.349155e+01
  1.006849e+01    3.173001e+01
  1.008378e+01    1.977070e+01
  1.009906e+01    1.583839e+01
  1.011435e+01    1.417033e+01
  1.012963e+01    1.333910e+01
  1.014492e+01    1.284939e+01
  1.016020e+01    1.252926e+01
  1.017549e+01    1.230548e+01
  1.019078e+01    1.214007e+01
  1.020606e+01    1.201823e+01
  1.022135e+01    1.193878e+01
  1.023663e+01    1.185344e+01
  1.025192e+01    1.176718e+01
  1.026720e+01    1.175692e+01
  1.028249e+01    1.168088e+01
  1.029777e+01    1.163125e+01
  1.031306e+01    1.160373e+01
  1.032834e+01    1.157582e+01
  1.034363e+01    1.155139e+01
  1.035891e+01    1.152437e+01
  1.037420e+01    1.150107e+01
  1.038948e+01    1.148406e+01
  1.040477e+01    1.149357e+01
  1.042005e+01    1.148257e+01
  1.043534e+01    1.145107e+01
  1.045062e+01    1.147249e+01
  1.046591e+01    1.147135e+01
  1.048119e+01    1.145424e+01
  1.049648e+01    1.144106e+01
  1.051176e+01    1.143727e+01
  1.052705e+01    1.144262e+01
  1.054233e+01    1.147042e+01
  1.055762e+01    1.147677e+01
  1.057290e+01    1.146515e+01
  1.058819e+01    1.144971e+01
  1.060347e+01    1.146144e+01
  1.061876e+01    1.148592e+01
  1.063404e+01    1.152397e+01
  1.064933e+01    1.153568e+01
  1.066461e+01    1.153336e+01
  1.067990e+01    1.155406e+01
  1.069518e+01    1.159757e+01
  1.071047e+01    1.161638e+01
  1.072575e+01    1.165410e+01
  1.074104e+01    1.166910e+01
  1.075632e+01    1.171400e+01
  1.077161e+01    1.181177e+01
  1.078689e+01    1.189463e+01
  1.080218e+01    1.203194e+01
  1.081746e+01    1.224254e+01
  1.083275e+01    1.254957e+01
  1.084803e+01    1.309021e+01
  1.086332e+01    1.427722e+01
  1.087860e+01    1.737891e+01
  1.089389e+01    2.581439e+01
  1.090917e+01    4.011945e+01
  1.092446e+01    4.748676e+01
  1.093974e+01    3.738679e+01
  1.095503e+01    2.310086e+01
  1.097031e+01    1.616799e+01
  1.098560e+01    1.386894e+01
